timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1583403851634,131,HTTP Get Costs Jim,200,OK,Thread Group 1-3,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,130,0,0
1583403851658,216,HTTP Get Costs Jim,200,OK,Thread Group 1-1,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,216,0,2
1583403851735,210,HTTP Get Costs Jim,200,OK,Thread Group 1-6,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,210,0,0
1583403851736,988,HTTP Get Costs Jim,200,OK,Thread Group 1-2,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,988,0,0
1583403851945,310,HTTP Get Costs Jim,200,OK,Thread Group 1-3,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,310,0,0
1583403852143,1697,HTTP Get Costs Jim,200,OK,Thread Group 1-4,text,true,,5976,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,1697,0,19
1583403852231,3018,HTTP Get Costs Jim,200,OK,Thread Group 1-10,text,true,,5951,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,3018,0,2
1583403852248,103,HTTP Get Costs Jim,200,OK,Thread Group 1-4,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,103,0,0
1583403852349,100,HTTP Get Costs Jim,200,OK,Thread Group 1-4,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,100,0,0
1583403852357,697,HTTP Get Costs Jim,200,OK,Thread Group 1-1,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,697,0,0
1583403852417,184,HTTP Get Costs Jim,200,OK,Thread Group 1-10,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,184,0,4
1583403852472,114,HTTP Get Costs Jim,200,OK,Thread Group 1-1,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,114,0,0
1583403852491,753,HTTP Get Costs Jim,200,OK,Thread Group 1-2,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,752,0,3
1583403852491,142,HTTP Get Costs Jim,200,OK,Thread Group 1-4,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,142,0,0
1583403852567,94,HTTP Get Costs Jim,200,OK,Thread Group 1-1,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,94,0,0
1583403852571,151,HTTP Get Costs Jim,200,OK,Thread Group 1-10,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,151,0,0
1583403852575,630,HTTP Get Costs Jim,200,OK,Thread Group 1-3,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,630,0,0
1583403852617,880,HTTP Get Costs Jim,200,OK,Thread Group 1-6,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,880,0,0
1583403852640,148,HTTP Get Costs Jim,200,OK,Thread Group 1-4,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,148,0,3
1583403852649,155,HTTP Get Costs Jim,200,OK,Thread Group 1-2,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,155,0,0
1583403852732,164,HTTP Get Costs Jim,200,OK,Thread Group 1-1,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,164,0,0
1583403852741,101,HTTP Get Costs Jim,200,OK,Thread Group 1-4,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,101,0,0
1583403852857,207,HTTP Get Costs Jim,200,OK,Thread Group 1-2,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,207,0,0
1583403852868,136,HTTP Get Costs Jim,200,OK,Thread Group 1-1,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,136,0,0
1583403852884,143,HTTP Get Costs Jim,200,OK,Thread Group 1-4,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,143,0,0
1583403852885,310,HTTP Get Costs Jim,200,OK,Thread Group 1-10,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,310,0,0
1583403852994,126,HTTP Get Costs Jim,200,OK,Thread Group 1-1,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,126,0,0
1583403853011,394,HTTP Get Costs Jim,200,OK,Thread Group 1-6,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,394,0,6
1583403853023,2753,HTTP Get Costs Jim,200,OK,Thread Group 1-5,text,true,,5951,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,2753,0,2
1583403853025,140,HTTP Get Costs Jim,200,OK,Thread Group 1-10,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,140,0,0
1583403853074,216,HTTP Get Costs Jim,200,OK,Thread Group 1-2,text,true,,6019,224,10,10,https://budgetmaster20200203113813.azurewebsites.net/api/Costs/Jim?code=AzqeudVQyaOaYeBApQdKZD7vpLCzraZYR8TSc2U7iedgashwyVQsPQ==,216,0,0
